C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-03-06,59 ST,NQR456W,BMT,04/28/2017,12:00:00,REGULAR,7964438,481941
A002,R051,02-03-06,59 ST,NQR456W,BMT,04/28/2017,16:00:00,REGULAR,7964788,481942
A002,R051,02-03-06,59 ST,NQR456W,BMT,04/28/2017,20:00:00,REGULAR,7965502,481950
A002,R051,02-05-00,59 ST,NQR456W,BMT,04/28/2017,00:00:00,REGULAR,1387,0
A002,R051,02-05-00,59 ST,NQR456W,BMT,04/28/2017,04:00:00,REGULAR,1387,0
A002,R051,02-05-00,59 ST,NQR456W,BMT,04/28/2017,08:00:00,REGULAR,1387,0
A002,R051,02-05-00,59 ST,NQR456W,BMT,04/28/2017,12:00:00,REGULAR,1388,0
A002,R051,02-05-00,59 ST,NQR456W,BMT,04/28/2017,16:00:00,REGULAR,1388,0
A002,R051,02-05-00,59 ST,NQR456W,BMT,04/28/2017,20:00:00,REGULAR,1388,0
A002,R051,02-05-01,59 ST,NQR456W,BMT,04/28/2017,00:00:00,REGULAR,0,732
A002,R051,02-05-01,59 ST,NQR456W,BMT,04/28/2017,04:00:00,REGULAR,0,732
A002,R051,02-05-01,59 ST,NQR456W,BMT,04/28/2017,08:00:00,REGULAR,0,732
A002,R051,02-05-01,59 ST,NQR456W,BMT,04/28/2017,12:00:00,REGULAR,0,732
A002,R051,02-05-01,59 ST,NQR456W,BMT,04/28/2017,16:00:00,REGULAR,0,732
A002,R051,02-05-01,59 ST,NQR456W,BMT,04/28/2017,20:00:00,REGULAR,0,732
A002,R051,02-06-00,59 ST,NQR456W,BMT,04/28/2017,00:00:00,REGULAR,7016661,150017
A002,R051,02-06-00,59 ST,NQR456W,BMT,04/28/2017,04:00:00,REGULAR,7016683,150018
A002,R051,02-06-00,59 ST,NQR456W,BMT,04/28/2017,08:00:00,REGULAR,7016797,150019
A002,R051,02-06-00,59 ST,NQR456W,BMT,04/28/2017,12:00:00,REGULAR,7017136,150019
A002,R051,02-06-00,59 ST,NQR456W,BMT,04/28/2017,16:00:00,REGULAR,7017481,150021
A002,R051,02-06-00,59 ST,NQR456W,BMT,04/28/2017,20:00:00,REGULAR,7018203,150028
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,04/28/2017,02:00:00,REGULAR,2807538,4802265
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,04/28/2017,06:00:00,REGULAR,2807546,4802289
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,04/28/2017,10:00:00,REGULAR,2807604,4803362
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,04/28/2017,14:00:00,REGULAR,2807791,4803972
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,04/28/2017,18:00:00,REGULAR,2808552,4804597
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,04/28/2017,22:00:00,REGULAR,2809163,4804877
