TIMESTAMP,START STATION,START LONGITUDE,START LATITUDE,END STATION,END LONGITUDE,END LATITUDE,TIME ESTIMATE
2017-05-11 09:06:55.698841,WORLD,40.71256392680817,-74.00974461517701,AQUED,40.668234001699815,-73.83405799948723,49
2017-05-11 09:06:56.823770,WOODL,40.886037000253324,-73.87875099990931,ASTOR,40.775035666523664,-73.9120340001031,36
2017-05-11 09:06:58.007218,WOODH,40.73309737380972,-73.86943208612348,ATLAN,40.67534466640805,-73.9030969995401,24
2017-05-11 09:06:58.922028,WILSO,40.68886654246024,-73.90395860491864,BAY R,40.61662166725951,-74.03087600085765,45
2017-05-11 09:06:59.869704,WHITL,40.82652500055904,-73.8862829985325,BEACH,40.59092700078133,-73.7969239998421,59
2017-05-11 09:07:00.931613,WESTC,40.839892001013915,-73.84295199925012,BEDFO,40.87324399861646,-73.88713799889574,23
2017-05-11 09:07:01.983470,WALL ,40.706820999753376,-74.00909999844257,BERGE,40.68611054725977,-73.99075649573565,17
2017-05-11 09:07:03.281448,VERNO,40.74262599969749,-73.95358099875249,BEVER,40.64512351894373,-73.94884798381702,45
2017-05-11 09:07:04.639219,VAN S,40.67270999906104,-73.8903580002471,BLEEC,40.72591466682659,-73.99465900006331,59
2017-05-11 09:07:05.557965,UNION,40.73476331217923,-73.99066976901818,BOROU,40.693218999611084,-73.98999799960687,21
2017-05-11 09:07:06.690375,TIMES,40.75528999995681,-73.98749500051885,BOWER,40.720246883147254,-73.99380690654237,23
2017-05-11 09:07:07.929074,SUTPH,40.70541799906764,-73.81083299897232,BOWLI,40.70491399928076,-74.01400799803432,66
2017-05-11 09:07:08.928091,STERL,40.6627729934283,-73.95072891124937,BRIAR,40.70916181536946,-73.82069263637443,36
2017-05-11 09:07:09.866374,STEIN,40.75698735912575,-73.9205264716827,BRIGH,40.577710196642435,-73.96135378598797,60
2017-05-11 09:07:10.989120,ST LA,40.8315090005233,-73.86761799923673,BROAD,40.725296998738045,-73.99620399876055,55
2017-05-11 09:07:12.016126,SPRIN,40.72230099999366,-73.99714100006673,BROOK,40.80756599987699,-73.91923999909432,29
2017-05-11 09:07:13.064536,SMITH,40.67364106090412,-73.99589172790934,BURNS,40.85345300155693,-73.9076840015997,52
2017-05-11 09:07:14.016068,SARAT,40.6615297898075,-73.91633025007947,BUSHW,40.68286062551184,-73.90526176305106,11
2017-05-11 09:07:15.346244,ROOSE,40.75917199967108,-73.95323499978866,CANAL,40.718814263587134,-74.00105471306033,43
2017-05-11 09:07:16.891857,ROCKA,40.66261748815223,-73.90895833584449,CARRO,40.68027335170176,-73.99494697998841,42
2017-05-11 09:07:18.018011,RECTO,40.707512999521775,-74.01378300119742,CASTL,40.83425499825462,-73.85122199961472,50
2017-05-11 09:07:19.114855,QUEEN,40.74891771986323,-73.93713823965695,CENTR,40.69787300011831,-73.92724299902838,22
2017-05-11 09:07:20.182343,PROSP,40.66541366712979,-73.99287200067424,CHAMB,40.71323378962671,-74.00340673031336,21
2017-05-11 09:07:21.352566,PRINC,40.72432866597571,-73.99770200045987,CHRIS,40.73342200104225,-74.00290599855235,8
2017-05-11 09:07:22.559793,PRESI,40.667883603536815,-73.95058920022207,CHURC,40.6508606878022,-73.94945514035334,12
2017-05-11 09:07:23.684452,PENNS,40.66471445143568,-73.89488591154061,CITY ,40.71327233111697,-74.00698581780337,52
2017-05-11 09:07:24.639685,PELHA,40.85246199951662,-73.82812100059289,CLARK,40.69746599996469,-73.99308599821961,56
2017-05-11 09:07:25.709540,PARSO,40.707571999615695,-73.80328900021885,CLASS,40.68888900026455,-73.95999000137212,48
2017-05-11 09:07:26.845432,PARK ,40.713050999077694,-74.00881099997359,CLINT,40.68326299912644,-73.96583799857275,21
2017-05-11 09:07:27.873344,OZONE,40.68595099878361,-73.82579799906613,CORTE,40.6409401651401,-73.96379005505493,47
2017-05-11 09:07:28.754826,OCEAN,40.57631166708091,-73.96850099975177,COURT,40.694196480776995,-73.99181830901125,43
2017-05-11 09:07:29.722973,NOSTR,40.66993815093054,-73.9504262489579,CROWN,40.66897831107809,-73.93293256081851,5
2017-05-11 09:07:30.920230,NEW L,40.65891477368527,-73.89927796057142,CYPRE,40.8053680007636,-73.91404199994753,57
2017-05-11 09:07:31.831579,NEVIN,40.68831058019022,-73.98040679874578,DEKAL,40.70369299961644,-73.91823200219723,22
2017-05-11 09:07:32.846614,NECK ,40.59532169111695,-73.95507827493762,DYCKM,40.865490998968916,-73.92727099960726,66
2017-05-11 09:07:34.459643,NASSA,40.724479997808274,-73.95118300016523,EAST ,40.713855001020406,-73.99017700122197,32
2017-05-11 09:07:35.705976,MYRTL,40.6971950005145,-73.9356230012996,ELMHU,40.74237007972169,-73.8820347465864,31
2017-05-11 09:07:36.740309,MT ED,40.84443400092679,-73.9146849986034,EUCLI,40.675376998239365,-73.87210600099675,45
2017-05-11 09:07:37.661625,MORGA,40.70615166680729,-73.93314700024209,FAR R,40.603995001687544,-73.75540499924732,48
2017-05-11 09:07:39.265809,MONTR,40.70739106438455,-73.93979284713505,FLUSH,40.70040440298112,-73.94137734838365,4
2017-05-11 09:07:40.562001,METRO,40.71277400073426,-73.9514239994525,FORDH,40.86280299988937,-73.90103399921699,54
2017-05-11 09:07:41.555520,MARBL,40.87456099941789,-73.90983099923551,FRANK,40.719318001302135,-74.00688600277107,52
2017-05-11 09:07:42.649711,LEXIN,40.762708855394564,-73.96737501711436,FULTO,40.710367998822136,-74.00950899856461,30
