START STATION,START LONGITUDE,START LATITUDE,END STATION,END LONGITUDE,END LATITUDE
KINGS ,40.60405899980493,-73.98037300229343,GRAHAM,40.714575998363635,-73.94394399869037
JUNCTI,40.74914499948836,-73.86952700103515,GRAND ,40.71826699954992,-73.99375299913589
JEFFER,40.706606665988716,-73.9229130000312,GRANT ,40.67704400054478,-73.86504999877702
JAY ST,40.69225539645323,-73.98605667854612,GREENP,40.73126699971465,-73.95442500146235
JAMAIC,40.712645666744045,-73.78381700176453,GUN HI,40.86952599962676,-73.84638400151765
HOYT S,40.69054418535472,-73.98506379575646,HALSEY,40.69551800114878,-73.90393400118631
HIGH S,40.69933699977884,-73.99053100065458,HARLEM,40.82388000080457,-73.93647000005559
HARLEM,40.82388000080457,-73.93647000005559,HIGH S,40.69933699977884,-73.99053100065458
HALSEY,40.69551800114878,-73.90393400118631,HOYT S,40.69054418535472,-73.98506379575646
GUN HI,40.86952599962676,-73.84638400151765,JAMAIC,40.712645666744045,-73.78381700176453
GREENP,40.73126699971465,-73.95442500146235,JAY ST,40.69225539645323,-73.98605667854612
GRANT ,40.67704400054478,-73.86504999877702,JEFFER,40.706606665988716,-73.9229130000312
GRAND ,40.71826699954992,-73.99375299913589,JUNCTI,40.74914499948836,-73.86952700103515
GRAHAM,40.714575998363635,-73.94394399869037,KINGS ,40.60405899980493,-73.98037300229343
FULTON,40.710367998822136,-74.00950899856461,KINGST,40.66948144864978,-73.94215978392963
FRANKL,40.719318001302135,-74.00688600277107,LEXING,40.762708855394564,-73.96737501711436
FORDHA,40.86280299988937,-73.90103399921699,MARBLE,40.87456099941789,-73.90983099923551
FLUSHI,40.70040440298112,-73.94137734838365,METROP,40.71277400073426,-73.9514239994525
FAR RO,40.603995001687544,-73.75540499924732,MONTRO,40.70739106438455,-73.93979284713505
EUCLID,40.675376998239365,-73.87210600099675,MORGAN,40.70615166680729,-73.93314700024209
ELMHUR,40.74237007972169,-73.8820347465864,MT EDE,40.84443400092679,-73.9146849986034
EAST B,40.713855001020406,-73.99017700122197,MYRTLE,40.6971950005145,-73.9356230012996
DYCKMA,40.865490998968916,-73.92727099960726,NASSAU,40.724479997808274,-73.95118300016523
DEKALB,40.70369299961644,-73.91823200219723,NECK R,40.59532169111695,-73.95507827493762
CYPRES,40.8053680007636,-73.91404199994753,NEVINS,40.68831058019022,-73.98040679874578
CROWN ,40.66897831107809,-73.93293256081851,NEW LO,40.65891477368527,-73.89927796057142
COURT ,40.694196480776995,-73.99181830901125,NOSTRA,40.66993815093054,-73.9504262489579
CORTEL,40.6409401651401,-73.96379005505493,OCEAN ,40.57631166708091,-73.96850099975177
CLINTO,40.68326299912644,-73.96583799857275,OZONE ,40.68595099878361,-73.82579799906613
CLASSO,40.68888900026455,-73.95999000137212,PARK P,40.713050999077694,-74.00881099997359
CLARK ,40.69746599996469,-73.99308599821961,PARSON,40.707571999615695,-73.80328900021885
CITY H,40.71327233111697,-74.00698581780337,PELHAM,40.85246199951662,-73.82812100059289
CHURCH,40.6508606878022,-73.94945514035334,PENNSY,40.66471445143568,-73.89488591154061
CHRIST,40.73342200104225,-74.00290599855235,PRESID,40.667883603536815,-73.95058920022207
CHAMBE,40.71323378962671,-74.00340673031336,PRINCE,40.72432866597571,-73.99770200045987
CENTRA,40.69787300011831,-73.92724299902838,PROSPE,40.66541366712979,-73.99287200067424
CASTLE,40.83425499825462,-73.85122199961472,QUEENS,40.74891771986323,-73.93713823965695
CARROL,40.68027335170176,-73.99494697998841,RECTOR,40.707512999521775,-74.01378300119742
CANAL ,40.718814263587134,-74.00105471306033,ROCKAW,40.66261748815223,-73.90895833584449
BUSHWI,40.68286062551184,-73.90526176305106,ROOSEV,40.75917199967108,-73.95323499978866
BURNSI,40.85345300155693,-73.9076840015997,SARATO,40.6615297898075,-73.91633025007947
