TIMESTAMP,START STATION,START LONGITUDE,START LATITUDE,END STATION,END LONGITUDE,END LATITUDE,TIME ESTIMATE,SPEED (MPH)
2017-05-11 09:06:55.698841,WORLD,40.7125639268,-74.0097446152,AQUED,40.6682340017,-73.8340579995,49,24.068322568530615
2017-05-11 09:06:56.823770,WOODL,40.8860370003,-73.8787509999,ASTOR,40.7750356665,-73.9120340001,36,8.436042020816666
2017-05-11 09:06:58.007218,WOODH,40.7330973738,-73.8694320861,ATLAN,40.6753446664,-73.9030969995,24,10.404481193299999
2017-05-11 09:06:58.922028,WILSO,40.6888665425,-73.9039586049,BAY R,40.6166216673,-74.0308760009,45,19.118851507733332
2017-05-11 09:06:59.869704,WHITL,40.8265250006,-73.8862829985,BEACH,40.5909270008,-73.7969239998,59,12.581578936677966
2017-05-11 09:07:00.931613,WESTC,40.839892001,-73.8429519993,BEDFO,40.8732439986,-73.8871379989,23,13.144941917947827
2017-05-11 09:07:01.983470,WALL ,40.7068209998,-74.0090999984,BERGE,40.6861105473,-73.9907564957,17,7.567874310105883
2017-05-11 09:07:03.281448,VERNO,40.7426259997,-73.9535809988,BEVER,40.6451235189,-73.9488479838,45,4.074600544426667
2017-05-11 09:07:04.639219,VAN S,40.6727099991,-73.8903580002,BLEEC,40.7259146668,-73.9946590001,59,11.955466663322035
2017-05-11 09:07:05.557965,UNION,40.7347633122,-73.990669769,BOROU,40.6932189996,-73.9899979996,21,3.6618444160285715
2017-05-11 09:07:06.690375,TIMES,40.75529,-73.9874950005,BOWER,40.7202468831,-73.9938069065,23,3.3620412454956523
2017-05-11 09:07:07.929074,SUTPH,40.7054179991,-73.810832999,BOWLI,40.7049139993,-74.014007998,66,20.614385956818182
2017-05-11 09:07:08.928091,STERL,40.6627729934,-73.9507289112,BRIAR,40.7091618154,-73.8206926364,36,24.306674880166668
2017-05-11 09:07:09.866374,STEIN,40.7569873591,-73.9205264717,BRIGH,40.5777101966,-73.961353786,60,7.17149710375
2017-05-11 09:07:10.989120,ST LA,40.8315090005,-73.8676179992,BROAD,40.7252969987,-73.9962039988,55,16.060154113963637
2017-05-11 09:07:12.016126,SPRIN,40.722301,-73.9971410001,BROOK,40.8075659999,-73.9192399991,29,18.79394439028966
2017-05-11 09:07:13.064536,SMITH,40.6736410609,-73.9958917279,BURNS,40.8534530016,-73.9076840016,52,13.040368033269232
2017-05-11 09:07:14.016068,SARAT,40.6615297898,-73.9163302501,BUSHW,40.6828606255,-73.9052617631,11,7.639805272854546
2017-05-11 09:07:15.346244,ROOSE,40.7591719997,-73.9532349998,CANAL,40.7188142636,-74.0010547131,43,7.646656096660465
2017-05-11 09:07:16.891857,ROCKA,40.6626174882,-73.9089583358,CARRO,40.6802733517,-73.99494698,42,13.732088807485715
2017-05-11 09:07:18.018011,RECTO,40.7075129995,-74.0137830012,CASTL,40.8342549983,-73.8512219996,50,22.27325374968
2017-05-11 09:07:19.114855,QUEEN,40.7489177199,-73.9371382397,CENTR,40.6978730001,-73.927242999,22,5.252010227836364
2017-05-11 09:07:20.182343,PROSP,40.6654136671,-73.9928720007,CHAMB,40.7132337896,-74.0034067303,21,5.3827297711428574
2017-05-11 09:07:21.352566,PRINC,40.724328666,-73.9977020005,CHRIS,40.733422001,-74.0029059986,8,4.8354474581025
2017-05-11 09:07:22.559793,PRESI,40.6678836035,-73.9505892002,CHURC,40.6508606878,-73.9494551404,12,2.7028512171949997
2017-05-11 09:07:23.684452,PENNS,40.6647144514,-73.8948859115,CITY ,40.7132723311,-74.0069858178,52,14.539267657961538
2017-05-11 09:07:24.639685,PELHA,40.8524619995,-73.8281210006,CLARK,40.697466,-73.9930859982,56,20.38482857882143
2017-05-11 09:07:25.709540,PARSO,40.7075719996,-73.8032890002,CLASS,40.6888890003,-73.9599900014,48,21.873146924125
2017-05-11 09:07:26.845432,PARK ,40.7130509991,-74.008811,CLINT,40.6832629991,-73.9658379986,21,13.951761084742856
2017-05-11 09:07:27.873344,OZONE,40.6859509988,-73.8257979991,CORTE,40.6409401651,-73.9637900551,47,19.74112535451064
2017-05-11 09:07:28.754826,OCEAN,40.5763116671,-73.9685009998,COURT,40.6941964808,-73.991818309,43,6.2354325613534884
2017-05-11 09:07:29.722973,NOSTR,40.6699381509,-73.950426249,CROWN,40.6689783111,-73.9329325608,5,23.43185162172
2017-05-11 09:07:30.920230,NEW L,40.6589147737,-73.8992779606,CYPRE,40.8053680008,-73.9140419999,57,5.077343752052632
2017-05-11 09:07:31.831579,NEVIN,40.6883105802,-73.9804067987,DEKAL,40.7036929996,-73.9182320022,22,18.96932652580909
2017-05-11 09:07:32.846614,NECK ,40.5953216911,-73.9550782749,DYCKM,40.865490999,-73.9272709996,66,8.094290399381817
2017-05-11 09:07:34.459643,NASSA,40.7244799978,-73.9511830002,EAST ,40.713855001,-73.9901770012,32,8.18316308690625
2017-05-11 09:07:35.705976,MYRTL,40.6971950005,-73.9356230013,ELMHU,40.7423700797,-73.8820347466,31,11.887920408890322
2017-05-11 09:07:36.740309,MT ED,40.8444340009,-73.9146849986,EUCLI,40.6753769982,-73.872106001,45,9.429081362640002
2017-05-11 09:07:37.661625,MORGA,40.7061516668,-73.9331470002,FAR R,40.6039950017,-73.7554049992,48,25.11188283975
2017-05-11 09:07:39.265809,MONTR,40.7073910644,-73.9397928471,FLUSH,40.700404403,-73.9413773484,4,4.18529060115
2017-05-11 09:07:40.562001,METRO,40.7127740007,-73.9514239995,FORDH,40.8628029999,-73.9010339992,54,8.09997318641111
2017-05-11 09:07:41.555520,MARBL,40.8745609994,-73.9098309992,FRANK,40.7193180013,-74.0068860028,52,13.666213790653845
2017-05-11 09:07:42.649711,LEXIN,40.7627088554,-73.9673750171,FULTO,40.7103679988,-74.0095089986,30,9.94232317286
2017-05-11 09:07:43.757497,KINGS,40.6040589998,-73.9803730023,GRAHA,40.7145759984,-73.9439439987,44,7.235598725563636
2017-05-11 09:07:44.766192,JUNCT,40.7491449995,-73.869527001,GRAND,40.7182669996,-73.9937529991,51,16.349839498117646
2017-05-11 09:07:46.247201,JEFFE,40.706606666,-73.922913,GRANT,40.6770440005,-73.8650499988,20,19.56759830406
2017-05-11 09:07:47.084534,JAY S,40.6922553965,-73.9860566785,GREEN,40.7312669997,-73.9544250015,18,12.432195697333334
2017-05-11 09:07:48.095145,JAMAI,40.7126456667,-73.7838170018,GUN H,40.8695259996,-73.8463840015,32,15.9764343187125
2017-05-11 09:07:49.040467,HOYT ,40.6905441854,-73.9850637958,HALSE,40.6955180011,-73.9039340012,36,15.093349836966665
2017-05-11 09:07:49.967855,HIGH ,40.6993369998,-73.9905310007,HARLE,40.8238800008,-73.9364700001,34,12.622817738488235
2017-05-11 09:07:50.846120,HARLE,40.8238800008,-73.9364700001,HIGH ,40.6993369998,-73.9905310007,52,8.25338082901154
2017-05-11 09:07:51.961860,HALSE,40.6955180011,-73.9039340012,HOYT ,40.6905441854,-73.9850637958,42,12.937157003114285
2017-05-11 09:07:53.044877,GUN H,40.8695259996,-73.8463840015,JAMAI,40.7126456667,-73.7838170018,32,15.9764343187125
2017-05-11 09:07:53.950218,GREEN,40.7312669997,-73.9544250015,JAY S,40.6922553965,-73.9860566785,30,7.4593174184
2017-05-11 09:07:55.224521,GRANT,40.6770440005,-73.8650499988,JEFFE,40.706606666,-73.922913,21,18.63580790862857
2017-05-11 09:07:56.280279,GRAND,40.7182669996,-73.9937529991,JUNCT,40.7491449995,-73.869527001,27,30.883030163111112
2017-05-11 09:07:57.163233,GRAHA,40.7145759984,-73.9439439987,KINGS,40.6040589998,-73.9803730023,43,7.403868463367441
2017-05-11 09:07:58.215362,FULTO,40.7103679988,-74.0095089986,LEXIN,40.7627088554,-73.9673750171,30,9.94232317286
2017-05-11 09:07:59.317245,FRANK,40.7193180013,-74.0068860028,MARBL,40.8745609994,-73.9098309992,42,16.920074216999996
2017-05-11 09:08:00.302651,FORDH,40.8628029999,-73.9010339992,METRO,40.7127740007,-73.9514239995,54,8.09997318641111
2017-05-11 09:08:01.266892,FLUSH,40.700404403,-73.9413773484,MONTR,40.7073910644,-73.9397928471,6,2.7901937341
