TIMESTAMP,START STATION,START LONGITUDE,START LATITUDE,END STATION,END LONGITUDE,END LATITUDE,TIME ESTIMATE
2017-05-11 19:02:25.533708,WORLD ,40.71256392680817,-74.00974461517701,AQUEDU,40.668234001699815,-73.83405799948723,57
2017-05-11 19:02:26.910616,WOODLA,40.886037000253324,-73.87875099990931,ASTORI,40.775035666523664,-73.9120340001031,30
2017-05-11 19:02:28.032966,WOODHA,40.73309737380972,-73.86943208612348,ATLANT,40.67534466640805,-73.9030969995401,25
2017-05-11 19:02:28.980837,WILSON,40.68886654246024,-73.90395860491864,BAY RI,40.61662166725951,-74.03087600085765,43
2017-05-11 19:02:30.097132,WHITLO,40.82652500055904,-73.8862829985325,BEACH ,40.59092700078133,-73.7969239998421,61
2017-05-11 19:02:31.431099,WESTCH,40.839892001013915,-73.84295199925012,BEDFOR,40.87324399861646,-73.88713799889574,18
2017-05-11 19:02:32.453094,WALL S,40.706820999753376,-74.00909999844257,BERGEN,40.68611054725977,-73.99075649573565,19
2017-05-11 19:02:33.735738,VERNON,40.74262599969749,-73.95358099875249,BEVERL,40.64512351894373,-73.94884798381702,42
2017-05-11 19:02:34.844627,VAN SI,40.67270999906104,-73.8903580002471,BLEECK,40.72591466682659,-73.99465900006331,47
2017-05-11 19:02:35.839140,UNION ,40.73476331217923,-73.99066976901818,BOROUG,40.693218999611084,-73.98999799960687,27
2017-05-11 19:02:37.271921,TIMES ,40.75528999995681,-73.98749500051885,BOWERY,40.720246883147254,-73.99380690654237,22
2017-05-11 19:02:38.613414,SUTPHI,40.70541799906764,-73.81083299897232,BOWLIN,40.70491399928076,-74.01400799803432,49
2017-05-11 19:02:39.676511,STERLI,40.6627729934283,-73.95072891124937,BRIARW,40.70916181536946,-73.82069263637443,36
2017-05-11 19:02:40.841413,STEINW,40.75698735912575,-73.9205264716827,BRIGHT,40.577710196642435,-73.96135378598797,59
2017-05-11 19:02:41.978539,ST LAW,40.8315090005233,-73.86761799923673,BROADW,40.725296998738045,-73.99620399876055,50
2017-05-11 19:02:43.231383,SPRING,40.72230099999366,-73.99714100006673,BROOKL,40.63284240700742,-73.94754120734406,42
2017-05-11 19:02:44.184739,SARATO,40.6615297898075,-73.91633025007947,BURNSI,40.85345300155693,-73.9076840015997,52
2017-05-11 19:02:45.428850,ROOSEV,40.75917199967108,-73.95323499978866,BUSHWI,40.68286062551184,-73.90526176305106,43
2017-05-11 19:02:46.395097,ROCKAW,40.66261748815223,-73.90895833584449,CANAL ,40.718814263587134,-74.00105471306033,32
2017-05-11 19:02:47.584332,RECTOR,40.707512999521775,-74.01378300119742,CARROL,40.68027335170176,-73.99494697998841,14
2017-05-11 19:02:49.034114,QUEENS,40.74891771986323,-73.93713823965695,CASTLE,40.83425499825462,-73.85122199961472,35
2017-05-11 19:02:50.353077,PROSPE,40.66541366712979,-73.99287200067424,CENTRA,40.69787300011831,-73.92724299902838,29
2017-05-11 19:02:51.543692,PRINCE,40.72432866597571,-73.99770200045987,CHAMBE,40.71323378962671,-74.00340673031336,12
