A021,R032,01-00-03,TIMES SQ-42 ST,ACENQRS1237W,BMT,04/28/2017,00:00:00,REGULAR,1438963,700763
A021,R032,01-00-04,TIMES SQ-42 ST,ACENQRS1237W,BMT,04/28/2017,00:00:00,REGULAR,1390247,2247769
A021,R032,01-00-05,TIMES SQ-42 ST,ACENQRS1237W,BMT,04/28/2017,00:00:00,REGULAR,1056550,3760173
A021,R032,01-00-06,TIMES SQ-42 ST,ACENQRS1237W,BMT,04/28/2017,00:00:00,REGULAR,1103822,3686510
A021,R032,01-00-07,TIMES SQ-42 ST,ACENQRS1237W,BMT,04/28/2017,00:00:00,REGULAR,1434733,2666297
A022,R022,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,04/28/2017,00:00:00,REGULAR,23350211,9281663
A022,R022,01-00-01,34 ST-HERALD SQ,BDFMNQRW,BMT,04/28/2017,00:00:00,REGULAR,23865870,9378066
A022,R022,01-00-02,34 ST-HERALD SQ,BDFMNQRW,BMT,04/28/2017,00:00:00,REGULAR,11554321,4482585
A022,R022,01-06-01,34 ST-HERALD SQ,BDFMNQRW,BMT,04/28/2017,00:00:00,REGULAR,4554641,6766815
A025,R023,01-00-00,34 ST-HERALD SQ,BDFMNQRW,BMT,04/28/2017,00:00:00,REGULAR,2955925,5254782
A025,R023,01-00-01,34 ST-HERALD SQ,BDFMNQRW,BMT,04/28/2017,00:00:00,REGULAR,10197242,4336124
A025,R023,01-00-02,34 ST-HERALD SQ,BDFMNQRW,BMT,04/28/2017,00:00:00,REGULAR,11342899,2925273
A025,R023,01-00-03,34 ST-HERALD SQ,BDFMNQRW,BMT,04/28/2017,00:00:00,REGULAR,5565963,1353597
A025,R023,01-03-00,34 ST-HERALD SQ,BDFMNQRW,BMT,04/28/2017,00:00:00,REGULAR,4809975,1854439
A025,R023,01-03-01,34 ST-HERALD SQ,BDFMNQRW,BMT,04/28/2017,00:00:00,REGULAR,1241122778,1812129784
A025,R023,01-03-02,34 ST-HERALD SQ,BDFMNQRW,BMT,04/28/2017,00:00:00,REGULAR,1556147573,2049189428
A025,R023,01-06-00,34 ST-HERALD SQ,BDFMNQRW,BMT,04/28/2017,00:00:00,REGULAR,9424618,23482241
A025,R023,01-06-01,34 ST-HERALD SQ,BDFMNQRW,BMT,04/28/2017,00:00:00,REGULAR,13277121,26817988
A025,R023,01-06-02,34 ST-HERALD SQ,BDFMNQRW,BMT,04/28/2017,00:00:00,REGULAR,84418552,509272
A027,R082,01-00-00,28 ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,2381322,2893101
A027,R082,01-03-00,28 ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,4554357,2275338
A027,R082,01-03-01,28 ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,1092489,564609
A027,R082,01-03-02,28 ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,1730868,1670237
A027,R082,01-03-03,28 ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,1963439,3109574
A029,R082,00-00-00,28 ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,3711531,12869008
A029,R082,00-00-01,28 ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,5515462,6317452
A029,R082,00-03-00,28 ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,6497543,5852937
A029,R082,00-03-01,28 ST,NRW,BMT,04/28/2017,00:00:00,REGULAR,3239196,3332199
